name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Catch-up-ino,Yes,No,3.9/5,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari
Kirthi's Biryani,Yes,No,3.8/5,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Cafes,Banashankari
T3H Cafe,No,No,3.9/5,93,Banashankari,Cafe,"Cafe, Italian, American",300,Cafes,Banashankari
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes,Banashankari
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Cafes,Banashankari
Woodee Pizza,Yes,No,3.7/5,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari
Cafe Coffee Day,No,No,3.6/5,28,Banashankari,Cafe,"Cafe, Fast Food",900,Cafes,Banashankari
My Tea House,Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari
Hide Out Cafe,No,No,3.7/5,31,Banashankari,Cafe,Cafe,300,Cafes,Banashankari
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",600,Cafes,Banashankari
Coffee Tindi,Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,Banashankari
Sea Green Cafe,No,No,3.3/5,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari
Cuppa,No,No,3.3/5,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari
Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes,Banashankari
Foodiction,Yes,No,2.8/5,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari
Sweet Truth,Yes,No,3.9/5,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Ovenstory Pizza,Yes,No,3.9/5,172,Banashankari,Delivery,Pizza,750,Delivery,Banashankari
Faasos,Yes,No,4.2/5,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Banashankari
Behrouz Biryani,Yes,No,3.9/5,230,Banashankari,Delivery,Biryani,650,Delivery,Banashankari
Fast And Fresh,Yes,No,2.8/5,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari
Szechuan Dragon,Yes,No,4.2/5,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery,Banashankari
Empire Restaurant,Yes,No,4.4/5,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Chaatimes,Yes,No,3.8/5,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
Havyaka Mess,No,No,3.9/5,28,Banashankari,Mess,South Indian,300,Delivery,Banashankari
McDonald's,Yes,No,3.9/5,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery,Banashankari
Domino's Pizza,Yes,No,3.9/5,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery,Banashankari
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Banashankari
Hotboxit,No,No,3.8/5,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery,Banashankari
Kitchen Garden,Yes,No,3.6/5,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
Recipe,Yes,No,4.0/5,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
Beijing Bites,Yes,No,3.7/5,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery,Banashankari
Tasty Bytes,Yes,No,3.1/5,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
Petoo,No,No,3.7/5,21,Banashankari,Quick Bites,North Indian,450,Delivery,Banashankari
Shree Cool Point,Yes,No,4.1/5,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari
Corner House Ice Cream,No,No,4.3/5,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Banashankari
Biryanis And More,Yes,No,4.0/5,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
Roving Feast,No,No,4.0/5,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
FreshMenu,Yes,No,3.9/5,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
Banashankari Donne Biriyani,Yes,No,3.8/5,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery,Banashankari
Wamama,Yes,Yes,4.2/5,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari
Five Star Chicken,No,No,3.6/5,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery,Banashankari
XO Belgian Waffle,Yes,No,3.7/5,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery,Banashankari
Peppy Peppers,No,No,4.2/5,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,Delivery,Banashankari
Goa 0 Km,Yes,Yes,3.6/5,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
Chinese Kitchen,Yes,No,3.8/5,58,Basavanagudi,Quick Bites,Chinese,150,Delivery,Banashankari
1947,No,Yes,4.0/5,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery,Banashankari
Cake of the Day,No,No,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery,Banashankari
Kabab Magic,Yes,No,4.1/5,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
Namma Brahmin's Idli,Yes,No,3.6/5,34,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari
Gustoes Beer House,No,No,4.1/5,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",Delivery,Banashankari
Sugar Rush,No,No,3.8/5,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Burger King,Yes,No,3.2/5,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Banashankari
The Good Bowl,Yes,No,3.6/5,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Banashankari
The Biryani Cafe,No,No,4.1/5,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery,Banashankari
Spicy Tandoor,No,No,NEW,0,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
LSD Cafe,No,No,2.9/5,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery,Banashankari
Rolls On Wheels,No,No,3.6/5,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,Banashankari
Om Sri Vinayaka Chats,No,No,NEW,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,Delivery,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,Basavanagudi,Quick Bites,South Indian,150,Delivery,Banashankari
Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery,Banashankari
Kolbeh,No,No,3.7/5,22,Banashankari,Quick Bites,Fast Food,500,Delivery,Banashankari
Upahar Sagar,No,No,3.8/5,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
Kadalu Sea Food Restaurant,Yes,No,3.8/5,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari
Frozen Bottle,Yes,No,4.2/5,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
Parimala Sweets,No,No,3.5/5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery,Banashankari
Vaishali Deluxe,No,No,3.8/5,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Chill Out,No,No,,0,Banashankari,Quick Bites,"South Indian, Chinese",100,Delivery,Banashankari
The Big O Bakes,No,No,4.0/5,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Meghana Foods,Yes,No,4.4/5,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Banashankari
Krishna Sagar,No,No,3.5/5,31,Banashankari,Quick Bites,North Indian,200,Delivery,Banashankari
Dessert Rose,No,No,3.5/5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery,Banashankari
Chickpet Donne Biryani House,No,No,3.7/5,21,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari
Me And My Cake,No,No,,0,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Sunsadm,No,No,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Annapooraneshwari Mess,No,No,,0,Banashankari,Mess,South Indian,200,Delivery,Banashankari
Thanco's Natural Ice Creams,No,No,3.2/5,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery,Banashankari
Nandhini Deluxe,No,No,2.6/5,283,Banashankari,Casual Dining,North Indian,600,Delivery,Banashankari
Vi Ra's Bar and Restaurant,No,No,3.3/5,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
Kaggis,No,No,3.8/5,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery,Banashankari
Ayda Persian Kitchen,No,No,3.7/5,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery,Banashankari
Chatar Patar,No,No,3.7/5,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery,Banashankari
Polar Bear,Yes,No,3.8/5,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
Kidambi's Kitchen,No,No,3.5/5,52,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
Mane Thindi,No,No,3.7/5,130,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
Kotian Karavali Restaurant,No,No,3.5/5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
Floured-Baked With Love,No,No,3.8 /5,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery,Banashankari
Cakes & Slices,No,No,3.5/5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Spice 9,No,No,3.4/5,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari
Coffee Shopee,No,No,,0,Banashankari,"Takeaway, Delivery",Beverages,250,Delivery,Banashankari
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
Katriguppe Donne Biryani,No,No,3.2/5,4,Banashankari,Quick Bites,North Indian,300,Delivery,Banashankari
Hari Super Sandwich,No,No,NEW,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,Delivery,Banashankari
Atithi Point Ande Ka Funda,No,No,3.1/5,29,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
Just Bake,No,No,3.4/5,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery,Banashankari
Dharwad Line Bazaar Mishra Pedha,No,No,,0,Banashankari,Dessert Parlor,Mithai,150,Delivery,Banashankari
Cake Bite,No,No,,0,Banashankari,Bakery,Bakery,300,Delivery,Banashankari
Aarush's Food Plaza,No,No,,0,Banashankari,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
Wood Stove,No,No,,0,Banashankari,"Takeaway, Delivery",South Indian,150,Delivery,Banashankari
Kulfi & More,No,No,,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150,Delivery,Banashankari
Kannadigas Karavali,No,No,,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250,Delivery,Banashankari
K27 - The Pub,No,No,3.1/5,30,Banashankari,Bar,"Chinese, North Indian","1,000",Delivery,Banashankari
Bengaluru Coffee House,Yes,No,4.1/5,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
New Mangalore Lunch Home,No,No,3.3/5,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery,Banashankari
Coffee Bytes,No,No,3.1/5,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,Delivery,Banashankari
Parjanya Chat Zone,No,No,3.3/5,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Banashankari
Soms Kitchen & Bakes,No,No,,0,Banashankari,Delivery,"South Indian, North Indian, Continental",400,Delivery,Banashankari
Banashankari Nati Style,No,No,,0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350,Delivery,Banashankari
Ruchi Maayaka,No,No,3.3/5,8,Banashankari,Delivery,South Indian,100,Delivery,Banashankari
Mohitesh Hut Roll,No,No,,0,Banashankari,Quick Bites,"Rolls, North Indian",150,Delivery,Banashankari
Sri Basaveshwar Jolada Rotti Oota,No,No,,0,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Roll Magic Fast Food,No,No,NEW,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200,Delivery,Banashankari
Foodlieious Multi Cuisine,No,No,NEW,0,Banashankari,Quick Bites,North Indian,100,Delivery,Banashankari
Thanishka Nati And Karavali Style,No,No,NEW,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,Delivery,Banashankari
Swathi Cool Point,No,No,,0,Banashankari,Beverage Shop,"Beverages, Juices",200,Delivery,Banashankari
Kaumudis Juoice,No,No,,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150,Delivery,Banashankari
Amma - Manae,No,No,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Sri Sai Tiffannies,No,No,,0,Banashankari,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Hotel Andhra Speices,No,No,,0,Banashankari,Quick Bites,Andhra,250,Delivery,Banashankari
Sri Murari Family Restaurant,No,No,,0,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari
Aramane Donne Biriyani,No,No,,0,Banashankari,Quick Bites,"South Indian, Biryani",150,Delivery,Banashankari
Darkolates,No,No,,0,Banashankari,Confectionery,Desserts,200,Delivery,Banashankari
Swaada Healthy Kitchen,No,No,,0,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350,Delivery,Banashankari
Gawdaru Mane Beriyani,No,No,,0,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
Melting Melodies,No,No,NEW,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,Delivery,Banashankari
New Indraprasta,No,No,NEW,0,Banashankari,Quick Bites,"South Indian, Beverages",150,Delivery,Banashankari
Anna Kuteera,Yes,No,4.0/5,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Banashankari
Darbar,No,No,3.0/5,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery,Banashankari
Vijayalakshmi,Yes,No,3.9/5,47,Basavanagudi,Quick Bites,South Indian,200,Delivery,Banashankari
Sri Udupi Food Hub,Yes,Yes,4.1/5,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
Udupi Upahar,Yes,No,3.8/5,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery,Banashankari
House Of Kebabs,Yes,No,3.8/5,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
Roll N Rock,Yes,No,3.8/5,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
BOX8- Desi Meals,Yes,No,4.1/5,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
KFC,Yes,No,3.8/5,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery,Banashankari
Bitez,No,No,NEW,0,Banashankari,Quick Bites,Fast Food,100,Delivery,Banashankari
Roll Over,Yes,No,4.1/5,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
Imperial Restaurant,Yes,No,3.7/5,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
Lassi Shop,Yes,No,3.9/5,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,Banashankari
The Fortuna,Yes,No,3.0/5,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
Wahab,Yes,No,3.7/5,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,Banashankari
Al Diwan Biryanis And More,Yes,No,3.3/5,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari
New Gowda's Fried Chicken,Yes,No,3.3/5,12,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
Canton,Yes,No,3.6/5,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery,Banashankari
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3/5,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery,Banashankari
The Blue Wagon - Kitchen,Yes,No,4.6/5,228,Jayanagar,Cafe,"Cafe, Beverages",400,Delivery,Banashankari
HOT COFFEE,Yes,No,4.1/5,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Patio 805,Yes,Yes,4.1/5,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese","1,200",Delivery,Banashankari
Lassi Corner,Yes,No,3.7/5,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Banashankari
Sagar Deluxe,Yes,No,3.2/5,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
Kanti Sweets,Yes,No,4.0/5,115,Banashankari,Sweet Shop,"Mithai, Street Food",400,Delivery,Banashankari
Vegetalia,Yes,No,3.7/5,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Banashankari
Aramane Donne Biryani,Yes,No,3.5/5,57,Banashankari,Quick Bites,Biryani,200,Delivery,Banashankari
Ande Ka Funda,Yes,No,3.8/5,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery,Banashankari
Cake Ghar,Yes,No,3.8/5,15,Basavanagudi,Bakery,Bakery,400,Delivery,Banashankari
Energy Addaa,Yes,No,4.2/5,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
Bhattara Bhojana,Yes,No,3.6/5,66,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Tandoori Knight,Yes,No,3.0/5,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
Dev Sagar - Food Street,Yes,No,4.1/5,233,Basavanagudi,Quick Bites,Street Food,200,Delivery,Banashankari
Mitraa Da Pizza,Yes,No,3.8/5,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery,Banashankari
Paradise Premium,Yes,No,3.1/5,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari
Grazers,Yes,Yes,3.9/5,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
Shakes Theory,Yes,No,4.5/5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery,Banashankari
@Italy,Yes,No,4.1/5,305,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery,Banashankari
Chilli Flakes,Yes,No,3.6/5,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery,Banashankari
Calcutta Cafe,Yes,No,3.5/5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery,Banashankari
Old Mumbai Ice Cream,Yes,No,3.9/5,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery,Banashankari
Donne Biriyani House,Yes,No,3.9/5,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
By 2 Coffee,Yes,No,3.9/5,25,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
Kedia's Fun Food,Yes,No,4.3/5,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,Banashankari
Davangere Butter Dosa Hotel,Yes,No,3.8/5,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery,Banashankari
Just Shawarma,Yes,No,3.9/5,160,Kumaraswamy Layout,Quick Bites,Arabian,300,Delivery,Banashankari
Mini Punjabi Dhaba,Yes,No,4.2/5,287,Banashankari,Quick Bites,North Indian,350,Delivery,Banashankari
Mulabagilu Dosa,Yes,No,3.6/5,11,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1/5,402,Banashankari,Cafe,Cafe,500,Delivery,Banashankari
Gokul Veg,Yes,No,3.8/5,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery,Banashankari
Olive - Era,Yes,No,3.3/5,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari
Udupi Ruchi,Yes,No,3.9/5,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
Madhappa Hindu Military Hotel,Yes,No,3.4/5,14,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
Gama Gama,Yes,No,3.9/5,264,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Delivery,Banashankari
Pizza Hut,Yes,No,3.8/5,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery,Banashankari
Mangalore Pearl,Yes,No,3.8/5,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari
Asha Sweets Centre,Yes,No,3.6/5,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery,Banashankari
Twiststick House,Yes,No,4.1/5,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari
Cool Corner,Yes,No,4.2/5,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery,Banashankari
Pizza Mane,Yes,No,3.5/5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari
Dal Tadkaa,Yes,No,2.5/5,247,Banashankari,Casual Dining,North Indian,500,Delivery,Banashankari
Chutney Chang,Yes,Yes,4.1/5,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ","1,500",Delivery,Banashankari
Mystique Palate,Yes,No,4.1/5,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery,Banashankari
Thamboola,Yes,No,3.9/5,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Banashankari
Castle Rock,Yes,No,3.6/5,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Vietnamese Kitchen,Yes,No,3.6/5,105,Banashankari,Casual Dining,Vietnamese,700,Delivery,Banashankari
Smacznego,Yes,No,4.2/5,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari
C Corner,Yes,No,3.2/5,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200,Delivery,Banashankari
Paratha Merchant,Yes,No,3.1/5,39,Kumaraswamy Layout,Quick Bites,North Indian,300,Delivery,Banashankari
North Rasoe,Yes,No,3.1/5,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,Delivery,Banashankari
Inchara Restaurant,Yes,No,,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
Toscano,Yes,Yes,4.3/5,1129,Jayanagar,Casual Dining,"Italian, Salad","1,300",Delivery,Banashankari
Lord Of The Kitchen,Yes,No,3.9/5,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350,Delivery,Banashankari
Stoned Monkey,Yes,No,4.3/5,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery,Banashankari
